ScoreId,Week,AwayTeamName,HomeTeamName,HomeTeamScore,AwayTeamScore,TotalScore,HomeMoneyLine,AwayMoneyLine,HomePointSpread,AwayPointSpread,HomePointSpreadPayout,AwayPointSpreadPayout
16983,1,GB,CHI,0,2,2,-66,59,-1.4,0.6,44,-48
16984,1,TEN,CLE,2,17,22,-95,85,-2.2,0.9,-41,-43
16985,1,BAL,MIA,2,23,27,107,-121,1.1,-2.8,-43,-40
16986,1,ATL,MIN,11,2,16,-71,64,-1.4,0.6,41,-45
16987,1,BUF,NYJ,3,3,13,-58,53,-1.0,0.4,-44,40
16988,1,WAS,PHI,13,11,23,-185,158,-4.2,1.7,41,-45
16989,1,LAR,CAR,11,12,23,44,-49,0.2,-0.6,-41,-43
16990,1,KC,JAX,10,16,26,66,-73,0.6,-1.4,-43,-41
16991,1,IND,LAC,12,4,21,-105,94,-2.4,1.0,-40,-44
16992,1,CIN,SEA,3,3,16,-160,139,-3.8,1.5,41,-45
16993,1,NYG,DAL,14,3,21,-123,108,-2.8,1.1,40,-44
16994,1,DET,ARI,11,11,21,55,-60,0.4,-1.0,44,-49
16995,1,SF,TB,3,12,19,-43,-41,-0.4,0.2,-41,-42
16996,1,PIT,NE,13,0,14,-92,82,-2.2,0.9,-41,-43
16997,1,HOU,NO,12,11,23,-123,108,-2.6,1.0,-45,41
16998,1,DEN,OAK,4,3,16,53,-59,0.5,-1.2,-47,43
