Away_Team_Name,Home_Team_Name,Home_Team_Score,Away_Team_Score,Total_Score,Home_Money_Line,Away_Money_Line,Home_Point_Spread,Away_Point_Spread,Home_Point_Spread_Payout,Away_Point_Spread_Payout
PHI,GB,40,51,91,-286,254,-5.2,7.7,-149,-164
TEN,ATL,15,36,51,-259,232,-5.2,7.7,153,-170
NE,BUF,15,24,39,406,-476,10.4,-10.4,-159,-153
KC,DET,45,51,95,442,-522,11.2,-11.2,-181,165
OAK,IND,36,46,82,-366,320,-8.2,12.2,-158,-155
LAC,MIA,15,45,59,897,-1201,22.3,-22.3,-161,-152
WAS,NYG,36,7,40,-248,223,-4.5,6.6,-168,152
CLE,BAL,37,59,97,-476,407,-11.2,11.2,165,-183
CAR,HOU,15,24,39,-369,323,-8.2,12.2,-162,-150
TB,LAR,59,82,141,-688,562,-13.4,13.4,-159,-153
SEA,ARI,15,40,55,311,-354,12.2,-8.2,-153,-159
MIN,CHI,24,13,33,-156,-156,-1.5,2.2,150,-165
JAX,DEN,36,39,74,-208,187,-3.7,5.5,-165,149
DAL,NO,18,15,33,192,-213,5.5,-3.7,-149,-164
CIN,PIT,40,7,45,-256,230,-5.2,7.7,156,-172
